13980 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1496744:1496908, ack 793, win 501, length 164
21:42:34.314039 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1496908:1497072, ack 793, win 501, length 164
21:42:34.314096 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1497072:1497236, ack 793, win 501, length 164
21:42:34.314149 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1497236:1497400, ack 793, win 501, length 164
21:42:34.314202 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1497400:1497564, ack 793, win 501, length 164
21:42:34.314256 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1497564:1497728, ack 793, win 501, length 164
21:42:34.314313 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1497728:1497892, ack 793, win 501, length 164
21:42:34.314367 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1497892:1498056, ack 793, win 501, length 164
21:42:34.314424 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1498056:1498220, ack 793, win 501, length 164
21:42:34.314478 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1498220:1498384, ack 793, win 501, length 164
21:42:34.314533 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1498384:1498548, ack 793, win 501, length 164
21:42:34.314607 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1498548:1498712, ack 793, win 501, length 164
21:42:34.314701 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1498712:1498876, ack 793, win 501, length 164
21:42:34.314785 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1498876:1499040, ack 793, win 501, length 164
21:42:34.314870 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1499040:1499204, ack 793, win 501, length 164
21:42:34.314942 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1499204:1499368, ack 793, win 501, length 164
21:42:34.314998 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1499368:1499532, ack 793, win 501, length 164
21:42:34.315055 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1499532:1499696, ack 793, win 501, length 164
21:42:34.315108 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1499696:1499860, ack 793, win 501, length 164
21:42:34.315165 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1499860:1500024, ack 793, win 501, length 164
21:42:34.315277 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1500024:1500188, ack 793, win 501, length 164
21:42:34.315367 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1500188:1500352, ack 793, win 501, length 164
21:42:34.315430 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1500352:1500516, ack 793, win 501, length 164
21:42:34.315511 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1500516:1500680, ack 793, win 501, length 164
21:42:34.315577 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1500680:1500844, ack 793, win 501, length 164
21:42:34.315632 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1500844:1501008, ack 793, win 501, length 164
21:42:34.315692 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1501008:1501172, ack 793, win 501, length 164
21:42:34.315747 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1501172:1501336, ack 793, win 501, length 164
21:42:34.315804 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1501336:1501500, ack 793, win 501, length 164
21:42:34.315858 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1501500:1501664, ack 793, win 501, length 164
21:42:34.315912 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1501664:1501828, ack 793, win 501, length 164
21:42:34.315970 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1501828:1501992, ack 793, win 501, length 164
21:42:34.316027 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1501992:1502156, ack 793, win 501, length 164
21:42:34.316083 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1502156:1502320, ack 793, win 501, length 164
21:42:34.316145 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1502320:1502484, ack 793, win 501, length 164
21:42:34.316200 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1502484:1502648, ack 793, win 501, length 164
21:42:34.316255 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1502648:1502812, ack 793, win 501, length 164
21:42:34.316331 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1502812:1502976, ack 793, win 501, length 164
21:42:34.316394 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1502976:1503140, ack 793, win 501, length 164
21:42:34.316455 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1503140:1503304, ack 793, win 501, length 164
21:42:34.316514 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1503304:1503468, ack 793, win 501, length 164
21:42:34.316572 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1503468:1503632, ack 793, win 501, length 164
21:42:34.316628 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1503632:1503796, ack 793, win 501, length 164
21:42:34.316684 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1503796:1503960, ack 793, win 501, length 164
21:42:34.316758 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1503960:1504124, ack 793, win 501, length 164
21:42:34.316834 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1504124:1504288, ack 793, win 501, length 164
21:42:34.316891 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1504288:1504452, ack 793, win 501, length 164
21:42:34.316964 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1504452:1504616, ack 793, win 501, length 164
21:42:34.317036 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1504616:1504780, ack 793, win 501, length 164
21:42:34.317097 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1504780:1504944, ack 793, win 501, length 164
21:42:34.317153 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1504944:1505108, ack 793, win 501, length 164
21:42:34.317265 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1505108:1505272, ack 793, win 501, length 164
21:42:34.317325 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1505272:1505436, ack 793, win 501, length 164
21:42:34.317384 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1505436:1505600, ack 793, win 501, length 164
21:42:34.317441 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1505600:1505764, ack 793, win 501, length 164
21:42:34.317495 IP 99.229.145.183.50413 > 134.122.47.164.22: Flags [.], ack 1487620, win 6205, length 0
21:42:34.317605 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1505764:1506032, ack 793, win 501, length 268
21:42:34.317686 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1506032:1506196, ack 793, win 501, length 164
21:42:34.317741 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1506196:1506360, ack 793, win 501, length 164
21:42:34.317797 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1506360:1506524, ack 793, win 501, length 164
21:42:34.317858 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1506524:1506688, ack 793, win 501, length 164
21:42:34.317921 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1506688:1506852, ack 793, win 501, length 164
21:42:34.317975 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1506852:1507016, ack 793, win 501, length 164
21:42:34.318029 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1507016:1507180, ack 793, win 501, length 164
21:42:34.318092 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1507180:1507344, ack 793, win 501, length 164
21:42:34.318148 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1507344:1507508, ack 793, win 501, length 164
21:42:34.318204 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1507508:1507672, ack 793, win 501, length 164
21:42:34.318301 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1507672:1507836, ack 793, win 501, length 164
21:42:34.318389 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1507836:1508000, ack 793, win 501, length 164
21:42:34.318455 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1508000:1508164, ack 793, win 501, length 164
21:42:34.318510 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1508164:1508328, ack 793, win 501, length 164
21:42:34.318593 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1508328:1508492, ack 793, win 501, length 164
21:42:34.318655 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1508492:1508656, ack 793, win 501, length 164
21:42:34.318710 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1508656:1508820, ack 793, win 501, length 164
21:42:34.318765 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1508820:1508984, ack 793, win 501, length 164
21:42:34.318820 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1508984:1509148, ack 793, win 501, length 164
21:42:34.318878 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1509148:1509312, ack 793, win 501, length 164
21:42:34.318945 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1509312:1509476, ack 793, win 501, length 164
21:42:34.319026 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1509476:1509640, ack 793, win 501, length 164
21:42:34.319133 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1509640:1509804, ack 793, win 501, length 164
21:42:34.319198 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1509804:1509968, ack 793, win 501, length 164
21:42:34.319264 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1509968:1510132, ack 793, win 501, length 164
21:42:34.319320 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1510132:1510296, ack 793, win 501, length 164
21:42:34.319374 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1510296:1510460, ack 793, win 501, length 164
21:42:34.319432 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1510460:1510624, ack 793, win 501, length 164
21:42:34.319507 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1510624:1510788, ack 793, win 501, length 164
21:42:34.319617 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1510788:1510952, ack 793, win 501, length 164
21:42:34.319718 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1510952:1511116, ack 793, win 501, length 164
21:42:34.319781 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1511116:1511280, ack 793, win 501, length 164
21:42:34.319837 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1511280:1511444, ack 793, win 501, length 164
21:42:34.319894 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1511444:1511608, ack 793, win 501, length 164
21:42:34.319949 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1511608:1511772, ack 793, win 501, length 164
21:42:34.320003 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1511772:1511936, ack 793, win 501, length 164
21:42:34.320061 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1511936:1512100, ack 793, win 501, length 164
21:42:34.320121 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1512100:1512264, ack 793, win 501, length 164
21:42:34.320174 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1512264:1512428, ack 793, win 501, length 164
21:42:34.320241 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1512428:1512592, ack 793, win 501, length 164
21:42:34.320347 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1512592:1512756, ack 793, win 501, length 164
21:42:34.320453 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1512756:1512920, ack 793, win 501, length 164
21:42:34.320527 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1512920:1513084, ack 793, win 501, length 164
21:42:34.320584 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1513084:1513248, ack 793, win 501, length 164
21:42:34.320639 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1513248:1513412, ack 793, win 501, length 164
21:42:34.320707 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1513412:1513576, ack 793, win 501, length 164
21:42:34.320764 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1513576:1513740, ack 793, win 501, length 164
21:42:34.320820 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1513740:1513904, ack 793, win 501, length 164
21:42:34.320874 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1513904:1514068, ack 793, win 501, length 164
21:42:34.320929 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1514068:1514232, ack 793, win 501, length 164
21:42:34.320987 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1514232:1514396, ack 793, win 501, length 164
21:42:34.321041 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1514396:1514560, ack 793, win 501, length 164
21:42:34.321098 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1514560:1514724, ack 793, win 501, length 164
21:42:34.321177 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1514724:1514888, ack 793, win 501, length 164
21:42:34.321255 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1514888:1515052, ack 793, win 501, length 164
21:42:34.321314 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1515052:1515216, ack 793, win 501, length 164
21:42:34.321372 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1515216:1515380, ack 793, win 501, length 164
21:42:34.321426 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1515380:1515544, ack 793, win 501, length 164
21:42:34.321480 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1515544:1515708, ack 793, win 501, length 164
21:42:34.321556 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1515708:1515872, ack 793, win 501, length 164
21:42:34.321617 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1515872:1516036, ack 793, win 501, length 164
21:42:34.321680 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1516036:1516200, ack 793, win 501, length 164
21:42:34.321742 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1516200:1516364, ack 793, win 501, length 164
21:42:34.321796 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1516364:1516528, ack 793, win 501, length 164
21:42:34.321857 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1516528:1516692, ack 793, win 501, length 164
21:42:34.321921 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1516692:1516856, ack 793, win 501, length 164
21:42:34.321982 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1516856:1517020, ack 793, win 501, length 164
21:42:34.322059 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1517020:1517184, ack 793, win 501, length 164
21:42:34.322139 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1517184:1517348, ack 793, win 501, length 164
21:42:34.322207 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1517348:1517512, ack 793, win 501, length 164
21:42:34.322273 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1517512:1517676, ack 793, win 501, length 164
21:42:34.322329 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1517676:1517840, ack 793, win 501, length 164
21:42:34.322383 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1517840:1518004, ack 793, win 501, length 164
21:42:34.322439 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1518004:1518168, ack 793, win 501, length 164
21:42:34.322496 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1518168:1518332, ack 793, win 501, length 164
21:42:34.322550 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1518332:1518496, ack 793, win 501, length 164
21:42:34.322607 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1518496:1518660, ack 793, win 501, length 164
21:42:34.322661 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1518660:1518824, ack 793, win 501, length 164
21:42:34.322718 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1518824:1518988, ack 793, win 501, length 164
21:42:34.322774 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1518988:1519152, ack 793, win 501, length 164
21:42:34.322830 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1519152:1519316, ack 793, win 501, length 164
21:42:34.322885 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1519316:1519480, ack 793, win 501, length 164
21:42:34.322940 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1519480:1519644, ack 793, win 501, length 164
21:42:34.322997 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1519644:1519808, ack 793, win 501, length 164
21:42:34.323052 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1519808:1519972, ack 793, win 501, length 164
21:42:34.323106 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1519972:1520136, ack 793, win 501, length 164
21:42:34.323160 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1520136:1520300, ack 793, win 501, length 164
21:42:34.323241 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1520300:1520464, ack 793, win 501, length 164
21:42:34.323314 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1520464:1520628, ack 793, win 501, length 164
21:42:34.323387 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1520628:1520792, ack 793, win 501, length 164
21:42:34.323463 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1520792:1520956, ack 793, win 501, length 164
21:42:34.324152 IP 99.229.145.183.50413 > 134.122.47.164.22: Flags [.], ack 1492212, win 6205, length 0
21:42:34.324186 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1520956:1521120, ack 793, win 501, length 164
21:42:34.324280 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1521120:1521388, ack 793, win 501, length 268
21:42:34.324348 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1521388:1521552, ack 793, win 501, length 164
21:42:34.324415 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1521552:1521716, ack 793, win 501, length 164
21:42:34.324481 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1521716:1521880, ack 793, win 501, length 164
21:42:34.324547 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1521880:1522044, ack 793, win 501, length 164
21:42:34.324613 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522044:1522208, ack 793, win 501, length 164
21:42:34.324675 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522208:1522372, ack 793, win 501, length 164
21:42:34.324734 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522372:1522536, ack 793, win 501, length 164
21:42:34.324801 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522536:1522700, ack 793, win 501, length 164
21:42:34.324864 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522700:1522864, ack 793, win 501, length 164
21:42:34.324929 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522864:1523028, ack 793, win 501, length 164
21:42:34.324987 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1523028:1523192, ack 793, win 501, length 164
21:42:34.325048 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1523192:1523356, ack 793, win 501, length 164
21:42:34.325108 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1523356:1523520, ack 793, win 501, length 164
